N_Intervals,Error,Order
1,6.401412725132172e-5,   -  
2,7.376619384213967e-7,6.439286719810432
3,6.174935485159239e-8,6.117424321658753
4,1.1231255703236798e-8,5.9245365337854805
5,2.8918257788390633e-9,6.0804469200473195
6,9.316084570443195e-10,6.212818401658736
7,3.7681824327506774e-10,5.871849926941807
8,1.679169026047589e-10,6.053211250900023
9,8.133416162792173e-11,6.154562965025707
10,4.354505644954543e-11,5.929829919005096
