N_Intervals,Error,Order
1,0.000959323773944698,   -  
2,7.375072370119362e-5,3.701288698846537
3,1.6794379034679174e-5,3.649257431342987
4,5.998867540268904e-6,3.5785112789834534
5,2.8194443728590812e-6,3.3836105459586947
6,1.5373762395354262e-6,3.326335198386101
7,9.22076474951794e-7,3.3162639156213882
8,5.971529420945032e-7,3.253578736917873
9,4.081898776764348e-7,3.230013645585161
10,2.9089682895833135e-7,3.215282175176032
